cv_prauc,cv_std,param_learning_rate,param_num_leaves,param_max_depth,param_subsample,param_colsample_bytree,param_n_estimators,param_min_child_samples
0.6666,0.0019,0.08,31,6,0.7,0.6,500,30
0.6659,0.0014,0.05,127,6,0.9,0.7,400,30
0.6654,0.0009,0.05,63,6,0.7,0.6,300,30
0.6646,0.0011,0.05,63,6,0.9,0.7,300,10
0.6645,0.0013,0.05,127,7,0.8,0.7,300,20
0.6644,0.0012,0.05,95,8,0.8,0.7,300,30
0.6639,0.0015,0.05,63,-1,0.8,0.7,400,30
0.6638,0.0015,0.1,95,5,0.9,0.9,400,30
0.663,0.0007,0.03,31,7,0.8,0.8,400,30
0.661,0.002,0.05,95,5,0.9,0.7,300,10
0.661,0.0009,0.03,127,5,0.6,0.6,500,30
0.6577,0.0013,0.03,127,8,0.6,0.9,300,10
0.6566,0.0042,0.08,95,8,0.7,0.7,400,20
0.6561,0.0026,0.03,63,5,0.6,0.9,400,30
0.6545,0.0031,0.03,31,5,0.7,0.6,300,20
0.6541,0.0017,0.08,63,8,0.8,0.9,500,30
0.6534,0.0031,0.03,95,5,0.8,0.7,300,30
0.651,0.0018,0.1,63,8,0.9,0.8,400,20
0.6495,0.0025,0.08,95,8,0.8,0.9,400,10
0.645,0.005,0.1,63,8,0.7,0.7,500,10
0.6441,0.0034,0.01,31,8,0.8,0.6,500,10
0.6426,0.0027,0.01,31,8,0.9,0.9,500,30
0.6351,0.006,0.01,63,7,0.9,0.9,400,10
0.6252,0.006,0.01,63,8,0.6,0.9,300,20
0.6222,0.0079,0.01,63,5,0.8,0.8,400,20
